galaxy,t50_gyr,g98
NGC 5371,7.5,32375.00085517243
NGC 4088,6.8,11061.20685578661
NGC 6195,7.9,38719.26611497974
NGC 3877,7.3,10888.903094252872
NGC 7331,7.0,42616.29342791137
NGC 3953,8.8,11518.261157969464
NGC 6946,6.0,53690.955800987824
NGC 3521,3.2,67758.56586530268
NGC 0891,7.8,73817.49527574962
NGC 4157,8.4,13730.499083323482
NGC 5907,7.0,6121.190238897213
NGC 3992,7.2,5054.556840990105
NGC 3726,5.5,5387.333857463467
UGC 09037,5.0,7024.82957680365
NGC 4217,9.0,28015.658179310347
NGC 2955,7.4,37785.86105935484
IC4202,7.8,21873.39096285224
NGC 3893,6.5,21704.56290861741
UGC 06973,8.2,67302.68240153255
NGC 2998,6.8,10283.282117079889
UGC 06614,8.0,15832.132091503265
UGC 11455,10.3,10456.117287540985
NGC 1090,8.0,8616.261502044392
UGC 02916,7.4,44933.172032432405
NGC 0801,8.3,28744.19453846154
NGC 4100,7.0,6313.859853531952
NGC 5055,7.6,47718.114080963496
UGC 02455,5.5,4194.311578543046
UGC 03580,7.0,26258.132284910487
NGC 4559,6.3,4705.529777747624
NGC 4013,9.0,8175.220068425574
NGC 3198,7.0,9123.535924999986
UGC 11557,7.8,2223.4532904911184
NGC 4010,6.0,2686.3247573464696
NGC 2903,6.2,84575.03018749978
NGC 7793,6.5,6428.2185064935065
NGC 3917,7.0,1806.125370585075
F571-8,8.0,9115.949957586272
NGC 3972,7.3,2579.782404597701
NGC 3769,6.0,8402.48132392118
NGC 5005,9.3,120116.4332244898
ESO 079-G014,7.2,2292.5264719101124
NGC 2976,10.0,4249.6544376278125
UGC 04305,11.5,709.8628396825396
NGC 4183,5.2,1601.2648643678156
NGC 5585,5.0,2857.2943363148484
UGC 07089,5.9,729.0814076912973
UGC 07151,6.0,1477.7548800000002
UGC 04499,5.4,942.117010989011
UGC 07323,6.4,1057.262786285714
UGC 05750,5.7,237.981842838216
UGC 06917,6.0,1722.2990881226056
NGC 0055,10.8,767.1383161894663
F579-V1,7.5,1116.427555856466
UGC 04325,5.7,924.714907458284
UGC 05716,5.3,452.171925435017
CamB,4.1,319.01572225266364
UGC 08837,5.0,357.9872864191242
UGC 07608,6.0,190.33639803921568
DDO 154,5.0,322.8987283446712
KK98-251,3.6,212.1289471104947
UGC 07577,6.0,180.5909016118633
UGC 04483,5.0,409.59148166666665
DDO 64,6.2,377.590889260385
UGC 06399,7.6,620.8034546600985
UGC 05918,7.3,152.02122125785556
UGC 01281,6.5,249.0989313063063
UGC 05829,4.5,248.6846049270509
IC 2574,11.7,160.8603319948022
UGCA 444,5.1,201.1672531185032
UGC 05764,7.6,216.74919259108387
NGC 2366,11.0,494.5677654543408
UGC 06667,5.7,171.62940641090134
UGC 12632,7.0,292.02967628791606
UGC 00191,5.0,932.3110591133004
UGC 00731,3.7,162.32935429828697
UGC 07524,4.7,551.2594260869562
NGC 0247,7.4,563.719081684241
DDO 161,5.0,478.9560010286744
UGC 03205,7.9,33628.32597612268
NGC 3109,11.5,165.718894866706
D631-7,3.6,509.2096629629629
F568-3,7.6,498.231190385271
F583-1,5.0,237.3697833118438
DDO 168,7.7,578.8923516129032
UGC 04278,6.0,623.0601019381443
UGC 01230,6.0,704.8977383524278
F563-V2,6.0,632.9929935651271
F574-1,5.5,755.3445920567377
UGC 05005,6.0,434.24644029044737
NGC0100,7.5,1072.6607374137138
UGC 08286,5.6,677.7704239840107
F563-1,5.6,337.5563497134606
UGC 11820,6.0,599.1023862890086
F568-V1,5.7,680.8505856584093
NGC 3741,11.1,549.848101757632
UGC 08550,5.8,729.7099704046568
UGC 07603,5.7,1206.7523852941176
UGC 12732,7.0,450.72003125
UGC 06446,4.6,774.2945448275863
NGC 0024,6.5,2613.1697965963745
NGC 6015,6.0,5859.155003701493
F568-1,7.1,586.9937999999999
UGC 05986,5.8,1721.731466489597
NGC 0300,11.1,1064.0437579831932
UGC 07399,5.4,1613.760936065574
UGC 06983,5.1,1782.6967685823756
UGC 03546,7.9,211180.4720793248
UGC 08490,5.0,2322.229952941176
UGC 12506,6.0,2963.70907456446
UGC 00128,6.0,675.0228271999998
NGC 1003,6.0,2198.354794076921
NGC 2683,10.0,15724.974825136584
UGC 05721,6.0,3801.809185185185
NGC 6503,6.5,9386.726657894736
NGC 2915,8.5,4616.605800702367
NGC 4214,11.2,4984.674225396825
UGC 11914,10.5,134011.73487521562
NGC 2403,10.8,6966.305095652174
UGC 05253,8.0,172480.7521902834
UGC 08699,8.8,119376.01181395352
NGC 5985,10.0,6563.522270881915
NGC 0289,6.7,20835.150913047622
NGC 6674,6.2,14970.85132192896
UGC 02953,8.8,141664.65773515732
NGC 5033,7.4,82842.22778684199
UGC 09133,9.3,114469.35728519736
UGC 06787,9.0,272010.3591714285
UGC 06786,8.6,91687.30508749996
NGC 7814,10.5,145488.97828599118
UGC 02885,9.0,38177.93558980163
NGC 2841,9.0,21762.96202416105
UGC 02487,10.8,10902.5277611796
