primary_name,alternate_name,catalog_source
NGC 5371,UGC 08846,NED
NGC 4088,UGC 07081,NED
NGC 6195,UGC 10469,NED
NGC 3877,UGC 06745,NED
NGC 7331,UGC 12113,NED
NGC 3953,UGC 06870,NED
NGC 6946,UGC 11597,NED
NGC 3521,UGC 06150,NED
NGC 0891,UGC 01831,NED
NGC 4157,UGC 07183,NED
NGC 5907,UGC 09801,NED
NGC 3992,UGC 06937,NED
NGC 3726,UGC 06537,NED
NGC 4217,UGC 07282,NED
NGC 2955,UGC 05166,NED
NGC 3893,UGC 06778,NED
NGC 2998,UGC 05250,NED
NGC 1090,UGC 02247,NED
NGC 0801,UGC 01550,NED
NGC 4100,UGC 07095,NED
NGC 5055,UGC 08334,NED
UGC 02455,NGC 1156,NED
NGC 4559,UGC 07766,NED
NGC 4013,UGC 06963,NED
NGC 3198,UGC 05572,NED
NGC 4010,UGC 06964,NED
NGC 2903,UGC 05079,NED
NGC 3917,UGC 06815,NED
NGC 3972,UGC 06904,NED
NGC 3769,UGC 06595,NED
NGC 5005,UGC 08256,NED
NGC 2976,UGC 05221,NED
NGC 4183,UGC 07222,NED
NGC 5585,UGC 09179,NED
UGC 07151,NGC 4144,NED
UGC 07323,NGC 4242,NED
UGC 04325,NGC 2552,NED
NGC 2366,UGC 03851,NED
UGC 07524,NGC 4395,NED
NGC0100,UGC 00231,NED
UGC 08286,NGC 5023,NED
NGC 3741,UGC 06572,NED
UGC 08550,NGC 5229,NED
UGC 07603,NGC 4455,NED
NGC 6015,UGC 10075,NED
UGC 05986,NGC 3432,NED
UGC 07399,NGC 4288,NED
UGC 03546,NGC 2273,NED
UGC 08490,NGC 5204,NED
NGC 1003,UGC 02137,NED
NGC 2683,UGC 04641,NED
UGC 05721,NGC 3274,NED
NGC 6503,UGC 11012,NED
NGC 4214,UGC 07278,NED
UGC 11914,NGC 7217,NED
NGC 2403,UGC 03918,NED
UGC 05253,NGC 2985,NED
UGC 08699,NGC 5289,NED
NGC 5985,UGC 09969,NED
NGC 6674,UGC 11308,NED
NGC 5033,UGC 08307,NED
UGC 09133,NGC 5533,NED
UGC 06787,NGC 3898,NED
UGC 06786,NGC 3900,NED
NGC 7814,UGC 00008,NED
NGC 2841,UGC 04966,NED
UGC 02487,NGC 1167,NED
