metallicity,flattening,SPS_set,N,young_gt_old_bins,mean_diff,sum_diff,age_coef,cv_delta_R2_from_age,resid_spearman_rho
sp_MW_Metal_Re,Eps_MGE,int,5952,7,0.02377658836500737,0.19021270692005895,-0.1390779548716275,0.008582012622043477,-0.06490653603029177
sp_MW_Metal_Re,Eps_MGE,obs,5952,7,0.03930118155709866,0.3144094524567893,-0.21022215933565208,0.02092285191175285,-0.11671018319938624
sp_MW_Metal_Re,Eps_MGE,both,5952,7,0.03467247654014065,0.2773798123211252,-0.21654536761408888,0.01921436206993963,-0.10329957905628019
sp_MW_Metal_Re,nsa_sersic_ba,int,5952,7,0.02444991176570953,0.19559929412567623,-0.14039743206207664,0.008808042401817918,-0.06637477421007947
sp_MW_Metal_Re,nsa_sersic_ba,obs,5952,7,0.039667171311399047,0.31733737049119237,-0.21319508890959457,0.021792621331919636,-0.11978928685063221
sp_MW_Metal_Re,nsa_sersic_ba,both,5952,7,0.03550468860692478,0.28403750885539825,-0.21858468394192498,0.01975035838368657,-0.10532669390424601
sp_LW_Metal_Re,Eps_MGE,int,5952,7,0.03403485149264435,0.2722788119411548,-0.1436607050340699,0.011990303729454043,-0.09988904385030906
sp_LW_Metal_Re,Eps_MGE,obs,5952,7,0.04156523054634583,0.33252184437076665,-0.1804567004367965,0.018837451228699575,-0.13298719874251244
sp_LW_Metal_Re,Eps_MGE,both,5952,7,0.041704809136912435,0.3336384730952995,-0.1902930808304283,0.020026514910828807,-0.1331731183982312
sp_LW_Metal_Re,nsa_sersic_ba,int,5952,7,0.031694823308198256,0.25355858646558604,-0.14338275214714483,0.011989631035554105,-0.09980866538135193
sp_LW_Metal_Re,nsa_sersic_ba,obs,5952,7,0.04433778637954209,0.3547022910363367,-0.18111096345962596,0.019104181986271153,-0.133847359749056
sp_LW_Metal_Re,nsa_sersic_ba,both,5952,7,0.04418380233721099,0.3534704186976879,-0.19045544129317665,0.020152511838578357,-0.13348384770728647
