outcome,outcome_label,mass_bin,logM_min,logM_max,logM_median,N_young,N_old,T50_young_median,T50_old_median,median_DML_young,median_DML_old,median_diff_young_minus_old,bootstrap95_lo,bootstrap95_hi,EP_favorable_young_gt_old
DML_mfl_int,DML intrinsic SPS,0,7.2690480470812675,9.57187557818932,9.368333998574403,186,186,4.256060606060606,12.84848484848485,0.5638666713450489,0.4305422872253913,0.1333243841196575,0.0686079181102869,0.2250578841386532,True
DML_mfl_int,DML intrinsic SPS,1,9.572109176187029,9.876393948254378,9.730605687711488,186,186,5.3,12.84848484848485,0.3090250169083135,0.3277053196940948,-0.0186803027857812,-0.1124280580014116,0.1095778732361928,False
DML_mfl_int,DML intrinsic SPS,2,9.876556712154152,10.113963396204992,10.001280290889357,186,186,5.781818181818182,12.84848484848485,0.2189874737059375,0.2596253944121882,-0.0406379207062507,-0.1052742625903923,0.0707398452959158,False
DML_mfl_int,DML intrinsic SPS,3,10.114360742518592,10.331143748371574,10.220859591209011,186,186,6.103030303030304,12.84848484848485,0.1790529998869929,0.1433828349731224,0.0356701649138704,-0.0414417271857799,0.0925018425627998,True
DML_mfl_int,DML intrinsic SPS,4,10.331234868527272,10.550953203110057,10.44163779902438,186,186,5.621212121212121,12.84848484848485,0.2155740457922392,0.102718542111551,0.1128555036806882,0.0677233237855809,0.1615706367613814,True
DML_mfl_int,DML intrinsic SPS,5,10.55098617762266,10.767844252325547,10.6629158616527,186,186,6.103030303030304,12.84848484848485,0.1357750362155436,0.0614040314381756,0.0743710047773679,0.0197120983349907,0.118264108121764,True
DML_mfl_int,DML intrinsic SPS,6,10.768300670614613,10.994345312695708,10.88221162955605,186,186,6.103030303030304,13.00909090909091,0.1802735656954615,0.0766563458495765,0.1036172198458849,0.0690395147045278,0.1445884660992454,True
DML_mfl_int,DML intrinsic SPS,7,10.994807931634906,12.411587721858544,11.13896222555301,186,186,6.745454545454546,12.84848484848485,0.1803304013931933,0.0957037023280986,0.0846266990650946,0.0602626562045896,0.11738492690121,True
DML_mfl_obs,DML observed SPS,0,7.2690480470812675,9.57187557818932,9.368333998574403,186,186,4.256060606060606,12.84848484848485,0.3728004358840748,0.1846747020445419,0.1881257338395329,0.119367895185515,0.2677631586469596,True
DML_mfl_obs,DML observed SPS,1,9.572109176187029,9.876393948254378,9.730605687711488,186,186,5.3,12.84848484848485,0.1457214156917895,0.0947855012395124,0.0509359144522771,-0.0279588459342292,0.137032894100732,True
DML_mfl_obs,DML observed SPS,2,9.876556712154152,10.113963396204992,10.001280290889357,186,186,5.781818181818182,12.84848484848485,0.0685274201050831,0.0220268514131278,0.0465005686919553,-0.0006092187397224,0.0848912575733142,True
DML_mfl_obs,DML observed SPS,3,10.114360742518592,10.331143748371574,10.220859591209011,186,186,6.103030303030304,12.84848484848485,0.0172280433920814,-0.0324114686498172,0.0496395120418986,0.0036384372223232,0.1043036700004513,True
DML_mfl_obs,DML observed SPS,4,10.331234868527272,10.550953203110057,10.44163779902438,186,186,5.621212121212121,12.84848484848485,0.0537018834146051,-0.0389164151460968,0.0926182985607018,0.0469419433026837,0.1285391200407977,True
DML_mfl_obs,DML observed SPS,5,10.55098617762266,10.767844252325547,10.6629158616527,186,186,6.103030303030304,12.84848484848485,0.0003305693456353,-0.052374163029708,0.0527047323753434,0.0101258028386382,0.0806635679671994,True
DML_mfl_obs,DML observed SPS,6,10.768300670614613,10.994345312695708,10.88221162955605,186,186,6.103030303030304,13.00909090909091,0.0293465603184371,-0.0285443435985477,0.0578909039169848,0.021234327457757,0.0964212056308323,True
DML_mfl_obs,DML observed SPS,7,10.994807931634906,12.411587721858544,11.13896222555301,186,186,6.745454545454546,12.84848484848485,0.0630359612811399,0.0080969299256802,0.0549390313554596,0.0237750036627009,0.0840595369642811,True
