number,mission,date,h_km,v_inf_kms,delta_in_deg,delta_out_deg,dv_obs_mms,dv_unc_mms,source
1,Galileo I,1990-12-08,960,8.95,-12.52,-34.15,3.92,0.3,[A][B]
2,Galileo II,1992-12-08,303,8.88,-34.26,-4.87,-4.60,1.0,[A][B]
3,NEAR,1998-01-23,539,6.85,-20.76,-71.96,13.46,0.01,[A][B]
4,Cassini,1999-08-18,1175,16.01,-12.92,-4.99,-2.0,1.0,[C]
5,MESSENGER,2005-08-02,2347,4.056,31.44,-31.92,0.02,0.01,[C]
6,Rosetta I,2005-03-04,1956,3.86,-2.81,-34.29,1.80,0.03,[C][B]
7,Rosetta II,2007-11-13,5301,9.38,-10.80,18.60,0.0,,[D][E][I]
8,Rosetta III,2009-11-13,2481,9.38,18.49,24.37,0.0,,[D][E][J]
9,Juno,2013-10-09,561,10.4,14.17,39.50,0.0,,[F][E]
10,EPOXI I,2007-12-31,15568,3.6,4.0,15.7,0.0,,[G][H]
11,EPOXI II,2008-12-29,43457,3.6,-21.0,59.0,0.0,,[G][H]
12,EPOXI III,2010-06-27,30489,3.5,60.2,-17.0,0.0,,[G][H]
