group,bin_left,bin_right,count
deep_interior_Rlt0p5,4.0,4.25,0
deep_interior_Rlt0p5,4.25,4.5,0
deep_interior_Rlt0p5,4.5,4.75,0
deep_interior_Rlt0p5,4.75,5.0,0
deep_interior_Rlt0p5,5.0,5.25,0
deep_interior_Rlt0p5,5.25,5.5,0
deep_interior_Rlt0p5,5.5,5.75,0
deep_interior_Rlt0p5,5.75,6.0,0
deep_interior_Rlt0p5,6.0,6.25,0
deep_interior_Rlt0p5,6.25,6.5,0
deep_interior_Rlt0p5,6.5,6.75,0
deep_interior_Rlt0p5,6.75,7.0,0
deep_interior_Rlt0p5,7.0,7.25,0
deep_interior_Rlt0p5,7.25,7.5,0
deep_interior_Rlt0p5,7.5,7.75,0
deep_interior_Rlt0p5,7.75,8.0,0
deep_interior_Rlt0p5,8.0,8.25,0
deep_interior_Rlt0p5,8.25,8.5,0
deep_interior_Rlt0p5,8.5,8.75,0
deep_interior_Rlt0p5,8.75,9.0,0
deep_interior_Rlt0p5,9.0,9.25,0
deep_interior_Rlt0p5,9.25,9.5,1
deep_interior_Rlt0p5,9.5,9.75,13
deep_interior_Rlt0p5,9.75,10.0,17
deep_interior_Rlt0p5,10.0,10.25,7
deep_interior_Rlt0p5,10.25,10.5,1
deep_interior_Rlt0p5,10.5,10.75,0
deep_interior_Rlt0p5,10.75,11.0,0
deep_body_Rlt1,4.0,4.25,0
deep_body_Rlt1,4.25,4.5,0
deep_body_Rlt1,4.5,4.75,0
deep_body_Rlt1,4.75,5.0,0
deep_body_Rlt1,5.0,5.25,0
deep_body_Rlt1,5.25,5.5,0
deep_body_Rlt1,5.5,5.75,0
deep_body_Rlt1,5.75,6.0,0
deep_body_Rlt1,6.0,6.25,0
deep_body_Rlt1,6.25,6.5,0
deep_body_Rlt1,6.5,6.75,0
deep_body_Rlt1,6.75,7.0,0
deep_body_Rlt1,7.0,7.25,0
deep_body_Rlt1,7.25,7.5,0
deep_body_Rlt1,7.5,7.75,0
deep_body_Rlt1,7.75,8.0,0
deep_body_Rlt1,8.0,8.25,0
deep_body_Rlt1,8.25,8.5,0
deep_body_Rlt1,8.5,8.75,0
deep_body_Rlt1,8.75,9.0,0
deep_body_Rlt1,9.0,9.25,4
deep_body_Rlt1,9.25,9.5,31
deep_body_Rlt1,9.5,9.75,236
deep_body_Rlt1,9.75,10.0,356
deep_body_Rlt1,10.0,10.25,238
deep_body_Rlt1,10.25,10.5,67
deep_body_Rlt1,10.5,10.75,7
deep_body_Rlt1,10.75,11.0,0
any_void_Rlt1,4.0,4.25,0
any_void_Rlt1,4.25,4.5,0
any_void_Rlt1,4.5,4.75,0
any_void_Rlt1,4.75,5.0,0
any_void_Rlt1,5.0,5.25,0
any_void_Rlt1,5.25,5.5,0
any_void_Rlt1,5.5,5.75,0
any_void_Rlt1,5.75,6.0,0
any_void_Rlt1,6.0,6.25,0
any_void_Rlt1,6.25,6.5,0
any_void_Rlt1,6.5,6.75,0
any_void_Rlt1,6.75,7.0,0
any_void_Rlt1,7.0,7.25,0
any_void_Rlt1,7.25,7.5,0
any_void_Rlt1,7.5,7.75,2
any_void_Rlt1,7.75,8.0,6
any_void_Rlt1,8.0,8.25,54
any_void_Rlt1,8.25,8.5,132
any_void_Rlt1,8.5,8.75,253
any_void_Rlt1,8.75,9.0,442
any_void_Rlt1,9.0,9.25,721
any_void_Rlt1,9.25,9.5,1101
any_void_Rlt1,9.5,9.75,1702
any_void_Rlt1,9.75,10.0,1975
any_void_Rlt1,10.0,10.25,1296
any_void_Rlt1,10.25,10.5,401
any_void_Rlt1,10.5,10.75,41
any_void_Rlt1,10.75,11.0,2
wall_not_in_any_void,4.0,4.25,0
wall_not_in_any_void,4.25,4.5,0
wall_not_in_any_void,4.5,4.75,0
wall_not_in_any_void,4.75,5.0,0
wall_not_in_any_void,5.0,5.25,0
wall_not_in_any_void,5.25,5.5,2
wall_not_in_any_void,5.5,5.75,1
wall_not_in_any_void,5.75,6.0,1
wall_not_in_any_void,6.0,6.25,3
wall_not_in_any_void,6.25,6.5,1
wall_not_in_any_void,6.5,6.75,13
wall_not_in_any_void,6.75,7.0,42
wall_not_in_any_void,7.0,7.25,67
wall_not_in_any_void,7.25,7.5,141
wall_not_in_any_void,7.5,7.75,245
wall_not_in_any_void,7.75,8.0,266
wall_not_in_any_void,8.0,8.25,306
wall_not_in_any_void,8.25,8.5,452
wall_not_in_any_void,8.5,8.75,599
wall_not_in_any_void,8.75,9.0,1110
wall_not_in_any_void,9.0,9.25,2451
wall_not_in_any_void,9.25,9.5,3834
wall_not_in_any_void,9.5,9.75,4654
wall_not_in_any_void,9.75,10.0,4920
wall_not_in_any_void,10.0,10.25,3151
wall_not_in_any_void,10.25,10.5,993
wall_not_in_any_void,10.5,10.75,117
wall_not_in_any_void,10.75,11.0,4
