mass_bin,dn4000_slice_int,N_lenses,median_D4000_N,mean_D4000_N,mean_log_Mstar,median_log_Mstar,mean_z,median_z
10.1-10.4,1,397,1.184356689453125,1.172642728093289,10.237300687833157,10.232550621032717,0.10262954961367755,0.1041239276528358
10.1-10.4,2,397,1.2506057024002075,1.2513137848611442,10.255666764016716,10.255077362060549,0.09643921057132987,0.0951326861977577
10.1-10.4,3,397,1.3070651292800903,1.3073528266373449,10.260407455021548,10.266945838928224,0.08974520460484306,0.0888282880187034
10.1-10.4,4,397,1.3717763423919678,1.3737499767947257,10.272724214068589,10.287046432495115,0.08377527644487108,0.0822871029376983
10.1-10.4,5,397,1.487199068069458,1.5179014536235436,10.279395605514873,10.2900390625,0.07763629424519439,0.0774069055914878
10.4-10.7,1,522,1.2333254218101501,1.2239769147958792,10.530574566559773,10.523359298706055,0.11394007026549724,0.1149962544441223
10.4-10.7,2,521,1.31200909614563,1.3104726341544095,10.548896040888986,10.547823905944824,0.10924028639543991,0.1108846738934516
10.4-10.7,3,522,1.3785731196403503,1.3785286650803812,10.559730286799171,10.564833641052246,0.10567116233523774,0.1064045839011669
10.4-10.7,4,521,1.450785756111145,1.453371786567849,10.559606081693506,10.56246280670166,0.09877165446983871,0.097797118127346
10.4-10.7,5,522,1.569617509841919,1.5977015449626235,10.566672719758133,10.577975273132324,0.09180775186996118,0.08904780820012084
10.7-11.0,1,419,1.290761113166809,1.2802687009934308,10.820297159272332,10.811311721801758,0.11995429744797273,0.1237515434622764
10.7-11.0,2,418,1.394346833229065,1.3935702925093436,10.819480191007186,10.808657169342041,0.11934026077603606,0.12348223850131029
10.7-11.0,3,418,1.47226083278656,1.47217744531814,10.827756160754337,10.81878137588501,0.11678726515737159,0.12244422733783719
10.7-11.0,4,418,1.547416865825653,1.5492486876734135,10.841282707652407,10.835137844085693,0.11419637380925374,0.11794562637805936
10.7-11.0,5,418,1.6628873944282532,1.691620852673453,10.859691419099507,10.856771469116211,0.11206025648951241,0.1158337630331516
11.0-11.3,1,125,1.3698018789291382,1.359270736694336,11.093854263305664,11.083011627197266,0.1211471895575523,0.1260532736778259
11.0-11.3,2,124,1.4725979566574097,1.46949518976673,11.09792620904984,11.075798034667969,0.1233304266126886,0.1261142194271087
11.0-11.3,3,125,1.5481367111206057,1.5475999116897583,11.107475234985351,11.090498924255373,0.12023329246044155,0.1266351342201233
11.0-11.3,4,124,1.622921347618103,1.6256826952580483,11.106385746309835,11.089545249938965,0.11902388299424797,0.12632643431425095
11.0-11.3,5,125,1.7300304174423218,1.7676688461303711,11.116656745910644,11.107288360595703,0.12196831083297725,0.1264972388744354
9.5-9.8,1,108,1.1390463709831238,1.1301060026442562,9.641595213501542,9.645575046539308,0.07259634730440594,0.07317297160625455
9.5-9.8,2,107,1.1942423582077026,1.19207067690163,9.659665615759163,9.671664237976074,0.06713515321645776,0.0683847293257713
9.5-9.8,3,107,1.2310632467269895,1.229968327228154,9.67553489898967,9.690134048461914,0.06671159049478642,0.0676152855157852
9.5-9.8,4,107,1.265640377998352,1.2676633005944369,9.664102999963493,9.67037582397461,0.06345615542937658,0.063569538295269
9.5-9.8,5,107,1.3438035249710083,1.3702992991866352,9.681415727205366,9.691811561584473,0.06181257113675086,0.0594275966286659
9.8-10.1,1,224,1.156566560268402,1.148878670164517,9.953430133206504,9.949323654174805,0.08571344870142635,0.0860226824879646
9.8-10.1,2,223,1.2144440412521362,1.2145312858803925,9.962947593141564,9.958264350891112,0.08062408842781195,0.0803474858403205
9.8-10.1,3,223,1.259826898574829,1.2608486280312987,9.96036962757196,9.970892906188965,0.0767988417581592,0.0772123783826828
9.8-10.1,4,223,1.323805570602417,1.3218740438666579,9.973561457988927,9.98457145690918,0.0749520253172904,0.0759337991476059
9.8-10.1,5,224,1.4241621494293213,1.4500690278198038,9.992296874523163,10.003552913665771,0.07064883741882759,0.07153596356511115
