galaxy,R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vdisk_baseline_kms,Vbar_baseline_kms,phi,beta,Vbar_required_Hermes_local_kms,Vdisk_required_if_gas_fixed_kms,required_Vdisk_velocity_scale,required_local_stellar_ML_factor,extra_stellar_Vdisk2_kms2
M33_NGC598,10.02,119.1,2.7,36.83412274194526,46.94243845956954,59.66862765892276,0.689757764478883,1.8342121193129324,79.13381856608468,70.03862250702338,1.4920107434841943,2.2260960586722582,2701.8161141508485
M33_NGC598,10.51,121.0,2.7,35.71495078018808,45.57681849402312,57.90340312337769,0.7194447499060186,1.8342121193129324,79.44699653804963,70.96666505962932,1.5570780805802797,2.424492149023568,2959.021165648485
M33_NGC598,10.99,121.5,2.1,34.7482675608329,44.45946873275907,56.42771002334238,0.7282997245130742,1.8342121193129324,79.49745546194464,71.50107220486025,1.6082304679492518,2.5864052380402693,3135.758966445457
M33_NGC598,11.48,118.6,2.0,33.94201324234555,43.46017094087779,55.143872924867,0.7218267983474544,1.8342121193129324,77.79795342621144,70.00329488219396,1.6107459627212424,2.594502556422782,3011.6748361530845
M33_NGC598,11.97,118.7,1.9,33.265236370613,42.56487902324658,54.0217074615045,0.7084357144707558,1.8342121193129324,78.27830931683341,70.85843463349366,1.6647159879109419,2.771279320406303,3209.1488324454767
M33_NGC598,12.46,117.2,1.9,32.59060069221523,41.74999173030693,52.96422436853123,0.6940106767860349,1.8342121193129324,77.73765723342565,70.57617231518124,1.690447575920092,2.8576130069341157,3237.9342891814576
M33_NGC598,12.95,116.2,2.0,31.90342743313877,41.00135925602141,51.95132474560089,0.6820043165516495,1.8342121193129324,77.45047978206895,70.57441559440022,1.7212701450631969,2.9627709122858787,3299.6366756497882
M33_NGC598,13.44,118.3,2.4,31.2087045449192,40.31139027258547,50.98030428587847,0.67265574030996,1.8342121193129324,79.152247600742,72.73991380856253,1.8044506358301093,3.2560420971476858,3666.086875168408
M33_NGC598,13.93,119.0,2.4,30.545859269263342,39.6600076778239,50.059621727522995,0.6677987265382979,1.8342121193129324,79.77985165937001,73.70057810013054,1.8583097285011523,3.453315047042026,3858.8590032883912
M33_NGC598,14.41,121.3,2.9,30.025863723729387,39.05607845679714,49.263878823936125,0.6619029228883176,1.8342121193129324,81.52017279664017,75.78908945513268,1.9405196950064683,3.7656166867079968,4218.608816014611
M33_NGC598,14.9,121.4,3.7,29.686756488067378,38.47407390408539,48.59586272059418,0.6512331556294856,1.8342121193129324,81.95037009590375,76.38428927517612,1.9853444546995378,3.941592603806205,4354.305285296761
M33_NGC598,15.39,120.3,3.4,29.32924357728519,37.93104713096555,47.94756370523172,0.6411883938117274,1.8342121193129324,81.55087880042792,76.0942921926892,2.0061215797696375,4.024523792817426,4351.57696785483
M33_NGC598,15.88,121.9,4.2,28.825268573805293,37.41438412396659,47.23062828004441,0.635712218327933,1.8342121193129324,82.82689218033639,77.64919806347687,2.0753835692229665,4.30721695940066,4629.561820525338
M33_NGC598,16.37,126.3,7.2,28.38585233033301,36.91214473433053,46.56461147059682,0.6402597476982854,1.8342121193129324,85.65178304411054,80.81133166899251,2.1892884374673867,4.792983862428391,5167.964897227746
M33_NGC598,16.86,126.3,4.5,28.080343743260947,36.4308035765491,45.996838521498375,0.6545071709870325,1.8342121193129324,85.14167153429388,80.37784848398155,2.2063155514835153,4.867828312718008,5133.395077680792
M33_NGC598,17.35,127.2,5.5,27.673708014854896,35.97842172544792,45.39031774669161,0.667276948969037,1.8342121193129324,85.2956340669528,80.68154110818705,2.2424980651977884,5.028797572415824,5215.0642457378935
M33_NGC598,17.84,126.2,4.7,27.190682622331053,35.54553353100455,44.75285661800937,0.6694246191242712,1.8342121193129324,84.55022137483687,80.05877036943288,2.252287767733229,5.0728001886807315,5145.9217590618155
M33_NGC598,18.32,124.2,12.2,26.67163677847017,35.13087621302298,44.108442184432064,0.6605758591630632,1.8342121193129324,83.51505016979672,79.14156554188843,2.2527637814097767,5.074944654831676,5029.208932926278
M33_NGC598,18.81,127.2,13.3,26.169432310914985,34.72921736085539,43.485143738673564,0.647240999565336,1.8342121193129324,86.00924152152155,81.9313764050859,2.359148366453943,5.565581014942308,5506.631901134328
M33_NGC598,19.3,120.2,14.2,25.921548775878367,34.34209110275851,43.026804578662436,0.6324751333953988,1.8342121193129324,81.78396974441206,77.56733214578587,2.2586665416991836,5.101574546591349,4837.311794904501
M33_NGC598,19.79,121.8,13.2,25.90398473354738,33.98447035630946,42.7312608107312,0.6140791796952998,1.8342121193129324,83.52755365974078,79.4092928775028,2.3366347053503485,5.45986174624771,5150.891569906142
M33_NGC598,20.28,136.0,19.1,25.845378522626746,33.65258985713338,42.43206800369612,0.5911322158537724,1.8342121193129324,94.20257323969348,90.58775421657145,2.6918508976915922,7.246061255403031,7073.644409909524
M33_NGC598,20.77,128.3,14.3,25.55007858704329,33.321678519949884,41.989769887330624,0.5668988372565579,1.8342121193129324,89.83209100435133,86.1219952068574,2.584563534375847,6.679968663225369,6306.663799023081
M33_NGC598,21.26,127.4,15.4,25.248248741775807,33.01149334890601,41.559989865872794,0.5484840375589206,1.8342121193129324,89.94977042884157,86.33358057948666,2.615258257692475,6.839575754428681,6363.728442549851
M33_NGC598,21.74,120.1,13.1,25.0372996682994,32.74971820813027,41.223905896847825,0.5342410233875117,1.8342121193129324,85.35326400853312,81.59848835750654,2.491578334779361,6.2079625983418945,5585.769259518191
M33_NGC598,22.23,112.2,14.9,24.91030445714018,32.53322555541395,40.974797536862305,0.5237141225352431,1.8342121193129324,80.13053616797546,76.16022294098019,2.340998214617737,5.480272640843431,4741.968793380366
M33_NGC598,22.72,119.6,13.4,24.854516278503247,32.361614469690124,40.80466971466918,0.5185609204461974,1.8342121193129324,85.62207921053783,81.93530050532085,2.5318668999675964,6.410349999151527,5666.119377812374
