scale_Vdisk,implied_ML_factor,implied_global_ML_W1,implied_Mstar,t50,g98,beta,phi_last,r_knee,Hermes_chi2,Hermes_chi2nu,Hermes_median_abs_residual,Hermes_mean_residual,Hermes_outer_chi2nu,Hermes_outer_chi2_fraction,Hermes_outer_mean_residual,Hermes_outer_median_abs_residual,Hermes_underpredict_outer_fraction,Hermes_max_abs_residual,MOND_chi2,MOND_chi2nu,MOND_median_abs_residual,MOND_mean_residual,MOND_outer_chi2nu,MOND_outer_chi2_fraction,MOND_outer_mean_residual,MOND_outer_median_abs_residual,MOND_underpredict_outer_fraction,MOND_max_abs_residual
1.0,1.0,0.682646833443196,4900000000.0,6.0,2653.949886626496,1.8342121193129324,0.5185609204461974,2.69,181.29841470569997,3.1258347363051717,29.897525516483363,-27.825834442561185,5.7940742164231995,0.8628867720513386,-51.62161771665222,54.82646297538052,1.0,74.74093827756408,6.889276904003383,0.11878063627592039,3.687272471023384,-4.124357788709662,0.22795764185463774,0.8933965662635234,-9.393901884632267,8.552737394628195,0.9629629629629629,23.916353132688656
1.0,1.0,0.682646833443196,4900000000.0,7.1,2653.949886626496,1.6987561125673496,0.5185609204461974,2.69,191.14698678599143,3.295637703206749,31.387672282474732,-29.308827401871184,6.109361527443944,0.862962916729982,-53.04858465895725,55.8739953946797,1.0,75.92917646835807,6.889276904003383,0.11878063627592039,3.687272471023384,-4.124357788709662,0.22795764185463774,0.8933965662635234,-9.393901884632267,8.552737394628195,0.9629629629629629,23.916353132688656
1.5,2.25,1.535955375247191,11025000000.0,6.0,5887.879246498102,1.0743673349505467,0.4967697515431534,5.62,143.22097163505865,2.4693270971561834,28.498060221400955,-7.898912720190272,3.5310732493309995,0.665677495715294,-39.92745169041827,43.913450425972485,1.0,63.377919261383695,57.63074892566606,0.9936336021666562,18.631015377402413,17.758912377694404,0.3218371549894438,0.15078067432236747,10.36452881974859,11.088732314569185,0.037037037037037035,29.68698165025701
1.5,2.25,1.535955375247191,11025000000.0,7.1,5887.879246498102,0.8833994756810712,0.4967697515431534,5.62,143.82169973738888,2.4796844782308427,27.475097263986065,-11.54273048713962,4.042305783041721,0.7588719667575525,-42.9028824218782,46.11072084451891,1.0,65.94157538444608,57.63074892566606,0.9936336021666562,18.631015377402413,17.758912377694404,0.3218371549894438,0.15078067432236747,10.36452881974859,11.088732314569185,0.037037037037037035,29.68698165025701
2.0,4.0,2.730587333772784,19600000000.0,6.0,10415.380350318352,0.4240948041527612,0.48301933208588865,8.06,174.54941476334523,3.0094726683335384,37.96544517936654,2.7738705388078744,2.3730334601368672,0.36707028499960515,-32.37987581737335,35.39955038181101,1.0,55.40882981712474,247.5800064228538,4.268620800394031,38.67862363152125,39.591334375337155,2.13920054522142,0.23329191866297133,29.946988234393334,30.488259786856645,0.0,56.376083466814535
2.0,4.0,2.730587333772784,19600000000.0,7.1,10415.380350318352,0.24488417502141208,0.48301933208588865,8.06,155.8277681227417,2.68668565728865,35.809586267978055,-2.0823169093866736,2.891246386594447,0.5009611148159502,-35.99886990269772,38.327924889682436,1.0,58.88401518190709,247.5800064228538,4.268620800394031,38.67862363152125,39.591334375337155,2.13920054522142,0.23329191866297133,29.946988234393334,30.488259786856645,0.0,56.376083466814535
2.5,6.25,4.266542709019975,30625000000.0,6.0,16236.453198087245,-0.00963287686916764,0.47385029473844387,10.02,209.52161488438836,3.6124416359377305,34.10811184034688,12.582450560764574,1.4280537882453672,0.18402613164231518,-23.589187247468086,27.34289456373297,0.9629629629629629,62.57833713950998,575.153005736886,9.916431133394587,57.798365735058425,61.257121987570216,5.567668020600042,0.26136877501596667,49.01378878710681,48.89316382073329,0.0,83.19023494753337
2.5,6.25,4.266542709019975,30625000000.0,7.1,16236.453198087245,-0.1334584054688518,0.47385029473844387,10.02,175.18572321024592,3.0204435036249295,35.80095973835132,8.001445270750448,1.736923099171848,0.267698319350815,-26.552666207829343,30.025836498988795,0.9629629629629629,56.04224951701974,575.153005736886,9.916431133394587,57.798365735058425,61.257121987570216,5.567668020600042,0.26136877501596667,49.01378878710681,48.89316382073329,0.0,83.19023494753337
3.0,9.0,6.143821500988764,44100000000.0,6.0,23351.09778980478,-0.2430155786318842,0.4698787068169704,11.48,270.89275159180477,4.670564682617323,34.02926479730722,23.75531422555357,0.7244467068990106,0.07220592271788578,-11.860183233702262,18.31045563505694,0.7037037037037037,74.78839261222326,1039.6867384350492,17.925633421293952,77.88750254311194,82.79964030950705,10.49334887707272,0.2725055626922983,67.5984336014334,66.7973434098651,0.0,111.14650815390692
3.0,9.0,6.143821500988764,44100000000.0,7.1,23351.09778980478,-0.3090314988254579,0.4698787068169704,11.48,232.8290548551236,4.014294049226269,34.533535110348645,20.406603194917718,0.813469857445817,0.09433395743801745,-13.743732685077573,20.094341378024993,0.7407407407407407,70.9636310563652,1039.6867384350492,17.925633421293952,77.88750254311194,82.79964030950705,10.49334887707272,0.2725055626922983,67.5984336014334,66.7973434098651,0.0,111.14650815390692
