mask,R_min,R_max,N,model,chi2_sum,chi2nu_mask,chi2_fraction_of_model_total_pct,mean_residual_model_minus_obs_kms,median_abs_residual_kms,rms_residual_kms,max_abs_residual_kms
full_board_all_R,0.24,22.72,58,Hermes_primary_t50_6p0,181.29841470569997,3.1258347363051717,100.0,-27.825834442561185,29.897525516483363,38.43485979776367,74.74093827756408
full_board_all_R,0.24,22.72,58,Hermes_conservative_t50_7p1,191.14698678599143,3.295637703206749,100.0,-29.308827401871184,31.387672282474732,39.4102039122979,75.92917646835807
full_board_all_R,0.24,22.72,58,MOND_fixed_simple,6.889276248349439,0.11878062497154206,100.0,-4.124357245638415,3.687272460855233,7.668307416685122,23.916352449791745
main_disk_R_le_8_warp_start,0.24,7.57,27,Hermes_primary_t50_6p0,17.23667496318529,0.6383953690068626,9.507350073173791,-4.1040692592406804,10.032667262006656,15.800095353203833,32.34869007289619
main_disk_R_le_8_warp_start,0.24,7.57,27,Hermes_conservative_t50_7p1,17.72661288670765,0.6565412180262092,9.273812360199223,-5.640368354512439,10.3306837022876,16.016118952526195,33.119521571862904
main_disk_R_le_8_warp_start,0.24,7.57,27,MOND_fixed_simple,0.6411775677699444,0.023747317324812754,9.306892983476462,0.14556523086573675,2.5810311297775,3.080778628258019,7.3889962603705825
warp_zone_R_gt_8,8.06,22.72,31,Hermes_primary_t50_6p0,164.06173974251473,5.292314185242411,90.49264992682623,-48.48672669900162,49.57002138315266,50.46220834717303,74.74093827756408
warp_zone_R_gt_8,8.06,22.72,31,Hermes_conservative_t50_7p1,173.4203738992838,5.594205609654316,90.72618763980078,-49.92329173344171,50.99590237594539,51.792884120023785,75.92917646835807
warp_zone_R_gt_8,8.06,22.72,31,MOND_fixed_simple,6.248098680579495,0.20155157034127402,90.69310701652353,-7.8433219832388055,7.81441470521564,10.087213437769684,23.916352449791745
main_disk_R_le_10_locked_boundary,0.24,9.53,31,Hermes_primary_t50_6p0,24.858410862273587,0.8018842213636641,13.71132279486614,-7.100474816739971,12.843132172067683,17.727804040748413,32.34869007289619
main_disk_R_le_10_locked_boundary,0.24,9.53,31,Hermes_conservative_t50_7p1,26.194225545004922,0.844975017580804,13.703708327001793,-8.632264629570424,11.134282475639722,18.193932011112523,33.119521571862904
main_disk_R_le_10_locked_boundary,0.24,9.53,31,MOND_fixed_simple,0.7344206338803978,0.023690988189690253,10.660345258420335,0.4652455661199505,2.5810311297775,3.0737924848970173,7.3889962603705825
outer_tail_R_gt_10_locked_boundary,10.02,22.72,27,Hermes_primary_t50_6p0,156.44000384342638,5.7940742164231995,86.28867720513387,-51.62161771665222,54.82646297538052,53.032940094133615,74.74093827756408
outer_tail_R_gt_10_locked_boundary,10.02,22.72,27,Hermes_conservative_t50_7p1,164.9527612409865,6.109361527443944,86.2962916729982,-53.04858465895725,55.8739953946797,54.37249031311415,75.92917646835807
outer_tail_R_gt_10_locked_boundary,10.02,22.72,27,MOND_fixed_simple,6.1548556144690405,0.22795761535070522,89.33965474157965,-9.393901214694315,8.552736716620132,10.745673088697428,23.916352449791745
Barker_break_outer_R_ge_9p1,9.53,22.72,28,Hermes_primary_t50_6p0,158.120326058846,5.6471545021016425,87.21550396098125,-50.69880244899333,53.60752934929554,52.30475808641572,74.74093827756408
Barker_break_outer_R_ge_9p1,9.53,22.72,28,Hermes_conservative_t50_7p1,166.8779082741956,5.959925295506985,87.30344698607907,-52.13960791011669,54.82916213051335,53.6468396735105,75.92917646835807
Barker_break_outer_R_ge_9p1,9.53,22.72,28,MOND_fixed_simple,6.155218228742368,0.21982922245508457,89.34491820119798,-9.044877849994034,8.253358481983263,10.552284260697652,23.916352449791745
Barker_S2_far_outer_R_ge_11p6,11.97,22.72,23,Hermes_primary_t50_6p0,145.2779079394078,6.316430779974253,80.13192402991284,-54.864445298394585,57.63697607080034,55.781637634732405,74.74093827756408
Barker_S2_far_outer_R_ge_11p6,11.97,22.72,23,Hermes_conservative_t50_7p1,152.51567442852928,6.631116279501273,79.78973511064872,-56.21905018542453,59.02025680731444,57.0856828140382,75.92917646835807
Barker_S2_far_outer_R_ge_11p6,11.97,22.72,23,MOND_fixed_simple,5.851093392753966,0.2543953649023463,84.93045106379344,-10.112842494193254,8.900101973552466,11.41844879740487,23.916352449791745
Putman_tidal_radius_R_ge_15,15.39,22.72,16,Hermes_primary_t50_6p0,112.98126698030768,7.06132918626923,62.31784605712583,-60.35313736029457,59.44545996368733,60.658838432744496,74.74093827756408
Putman_tidal_radius_R_ge_15,15.39,22.72,16,Hermes_conservative_t50_7p1,117.7999981311444,7.362499883196525,61.62796500843277,-61.60803390749906,60.747681590163154,61.90091265042014,75.92917646835807
Putman_tidal_radius_R_ge_15,15.39,22.72,16,MOND_fixed_simple,5.154930804516112,0.322183175282257,74.82543330659952,-11.958228984169583,13.219881148067053,13.048470469629732,23.916352449791745
